Date,RM_Temp,RM_Humidity,WD_Temp,WD_Humidity
20/6/2023 2:22,28.81℃,62.44%,29.56℃,70.81%
20/6/2023 2:32,28.81℃,63.56%,29.50℃,71.06%
20/6/2023 2:42,28.81℃,63.88%,29.25℃,71.88%
20/6/2023 2:52,28.81℃,64.12%,29.13℃,72.38%
20/6/2023 3:02,28.81℃,65.25%,29.13℃,72.62%
20/6/2023 3:12,28.81℃,66.12%,29.13℃,72.44%
20/6/2023 3:22,28.81℃,66.44%,29.13℃,72.44%
20/6/2023 3:32,28.75℃,66.81%,29.06℃,72.62%
20/6/2023 3:42,28.75℃,67.19%,29.13℃,72.88%
20/6/2023 3:52,28.75℃,68.56%,29.13℃,73.38%
20/6/2023 4:02,28.75℃,68.81%,29.13℃,73.44%
20/6/2023 4:12,28.75℃,68.56%,29.13℃,73.50%
20/6/2023 4:22,28.75℃,69.06%,29.13℃,73.56%
20/6/2023 4:32,28.75℃,69.88%,29.13℃,73.56%
20/6/2023 4:42,28.69℃,69.94%,29.13℃,73.62%
20/6/2023 4:52,28.69℃,70.31%,29.13℃,73.69%
20/6/2023 5:02,28.69℃,70.88%,29.13℃,73.75%
20/6/2023 5:12,28.69℃,71.00%,29.19℃,73.81%
20/6/2023 5:22,28.69℃,71.31%,29.19℃,73.88%
20/6/2023 5:32,28.63℃,71.50%,29.19℃,73.88%
20/6/2023 5:42,28.63℃,71.69%,29.13℃,73.94%
20/6/2023 5:52,28.63℃,71.94%,29.13℃,73.94%
20/6/2023 6:02,28.56℃,72.00%,29.13℃,73.94%
20/6/2023 6:12,28.56℃,72.31%,29.13℃,73.94%
20/6/2023 6:22,28.56℃,72.56%,29.13℃,73.94%
20/6/2023 6:32,28.56℃,72.62%,29.13℃,73.44%
20/6/2023 6:42,28.56℃,72.69%,29.13℃,73.50%
20/6/2023 6:52,28.50℃,72.81%,29.13℃,73.56%
20/6/2023 7:02,28.50℃,73.12%,29.06℃,73.56%
20/6/2023 7:12,28.50℃,73.19%,29.06℃,73.50%
20/6/2023 7:22,28.50℃,73.25%,29.06℃,73.44%
20/6/2023 7:32,28.50℃,73.38%,29.06℃,72.88%
20/6/2023 7:42,28.50℃,73.62%,29.06℃,72.81%
20/6/2023 7:52,28.50℃,73.62%,29.06℃,72.56%
20/6/2023 8:02,28.50℃,73.12%,29.00℃,72.44%
20/6/2023 8:12,28.50℃,73.75%,29.00℃,72.31%
20/6/2023 8:22,28.56℃,75.12%,29.00℃,72.38%
20/6/2023 8:32,28.63℃,75.88%,29.00℃,72.50%
20/6/2023 8:42,28.75℃,77.50%,29.00℃,72.50%
20/6/2023 8:52,28.75℃,77.81%,28.94℃,72.56%
20/6/2023 9:02,28.81℃,77.44%,28.94℃,72.44%
20/6/2023 9:12,28.88℃,75.81%,28.94℃,73.00%
20/6/2023 9:22,28.94℃,78.81%,28.94℃,73.25%
20/6/2023 9:32,28.94℃,78.75%,28.94℃,73.31%
20/6/2023 9:42,29.00℃,76.62%,28.94℃,73.31%
20/6/2023 9:52,29.00℃,74.75%,28.94℃,73.31%
20/6/2023 10:02,29.06℃,74.75%,28.88℃,72.94%
20/6/2023 10:12,29.00℃,76.25%,28.88℃,72.81%
20/6/2023 10:22,29.00℃,76.31%,28.88℃,73.12%
20/6/2023 10:32,29.00℃,76.81%,28.81℃,73.31%
20/6/2023 10:42,29.00℃,77.19%,28.81℃,73.50%
20/6/2023 10:52,29.06℃,77.38%,28.81℃,73.56%
20/6/2023 11:02,29.00℃,72.12%,28.75℃,73.56%
20/6/2023 11:12,28.75℃,69.00%,28.75℃,73.62%
20/6/2023 11:22,28.50℃,69.00%,28.75℃,73.62%
20/6/2023 11:32,28.44℃,69.12%,28.69℃,73.62%
20/6/2023 11:42,28.38℃,67.81%,28.63℃,73.69%
20/6/2023 11:52,28.31℃,67.75%,28.63℃,73.69%
20/6/2023 12:02,28.25℃,68.12%,28.63℃,73.69%
20/6/2023 12:12,28.25℃,68.50%,28.56℃,73.75%
20/6/2023 12:22,28.38℃,69.00%,28.56℃,73.75%
20/6/2023 12:32,28.50℃,71.94%,28.56℃,73.81%
20/6/2023 12:42,28.88℃,75.12%,28.56℃,73.88%
20/6/2023 12:52,29.06℃,75.50%,28.50℃,73.94%
20/6/2023 13:02,29.19℃,78.25%,28.50℃,74.00%
20/6/2023 13:12,29.31℃,75.06%,28.50℃,74.06%
20/6/2023 13:22,29.44℃,74.69%,28.44℃,74.06%
20/6/2023 13:32,29.56℃,74.50%,28.44℃,74.12%
20/6/2023 13:42,29.69℃,74.62%,28.44℃,74.25%
20/6/2023 13:52,29.75℃,74.88%,28.38℃,74.31%
20/6/2023 14:02,29.81℃,74.75%,28.38℃,74.38%
20/6/2023 14:12,29.88℃,74.25%,28.38℃,74.50%
20/6/2023 14:22,29.94℃,74.44%,28.31℃,74.50%
20/6/2023 14:32,30.00℃,73.94%,28.31℃,74.50%
20/6/2023 14:42,30.13℃,73.44%,28.31℃,74.50%
20/6/2023 14:52,30.19℃,73.38%,28.31℃,74.50%
20/6/2023 15:02,30.19℃,73.25%,28.25℃,74.50%
20/6/2023 15:12,30.19℃,73.44%,28.25℃,74.56%
20/6/2023 15:22,30.13℃,73.50%,28.25℃,74.31%
20/6/2023 15:32,30.19℃,73.94%,28.19℃,74.38%
20/6/2023 15:42,30.25℃,74.31%,28.19℃,74.38%
20/6/2023 15:52,30.38℃,74.31%,28.19℃,74.38%
20/6/2023 16:02,30.50℃,74.19%,28.13℃,74.38%
20/6/2023 16:12,30.56℃,74.31%,28.13℃,74.25%
20/6/2023 16:22,30.63℃,74.62%,28.13℃,74.19%
20/6/2023 16:32,30.63℃,74.19%,28.06℃,74.12%
20/6/2023 16:42,30.63℃,73.75%,28.06℃,74.12%
20/6/2023 16:52,30.44℃,73.75%,27.94℃,70.44%
20/6/2023 17:02,30.38℃,74.00%,27.94℃,71.88%
20/6/2023 17:12,30.31℃,74.12%,27.88℃,73.31%
20/6/2023 17:22,30.31℃,73.88%,27.94℃,73.56%
20/6/2023 17:32,30.25℃,73.81%,27.88℃,73.62%
20/6/2023 17:42,30.19℃,74.00%,27.88℃,73.62%
20/6/2023 17:52,30.06℃,74.31%,27.88℃,73.69%
20/6/2023 18:02,30.00℃,74.62%,27.88℃,73.62%
20/6/2023 18:12,29.94℃,74.94%,27.88℃,73.62%
20/6/2023 18:22,29.94℃,75.25%,27.88℃,73.62%
20/6/2023 18:32,29.88℃,75.44%,27.81℃,73.56%
20/6/2023 18:42,29.88℃,75.75%,27.81℃,73.50%
20/6/2023 18:52,29.88℃,75.88%,27.81℃,73.31%
20/6/2023 19:02,29.81℃,76.06%,27.81℃,71.88%
20/6/2023 19:12,29.81℃,76.19%,27.81℃,71.94%
20/6/2023 19:22,29.81℃,76.25%,27.81℃,73.19%
20/6/2023 19:32,29.75℃,76.38%,27.81℃,73.25%
20/6/2023 19:42,29.75℃,76.50%,27.81℃,73.19%
20/6/2023 19:52,29.75℃,76.56%,27.81℃,73.06%
20/6/2023 20:02,29.75℃,76.56%,27.81℃,73.00%
20/6/2023 20:12,29.75℃,76.69%,27.81℃,72.88%
20/6/2023 20:22,29.69℃,76.69%,27.81℃,72.69%
20/6/2023 20:32,29.69℃,76.75%,27.81℃,72.62%
20/6/2023 20:42,29.69℃,76.81%,27.81℃,72.50%
20/6/2023 20:52,29.69℃,76.94%,27.81℃,72.38%
20/6/2023 21:02,29.63℃,77.06%,27.81℃,72.31%
20/6/2023 21:12,29.63℃,77.12%,27.81℃,72.31%
20/6/2023 21:22,29.63℃,77.25%,27.88℃,72.56%
20/6/2023 21:32,29.56℃,77.19%,27.88℃,72.81%
20/6/2023 21:42,29.56℃,77.25%,27.94℃,73.00%
20/6/2023 21:52,29.56℃,77.19%,27.94℃,73.12%
20/6/2023 22:02,29.56℃,77.19%,28.00℃,73.31%
20/6/2023 22:12,29.56℃,77.38%,28.06℃,73.62%
20/6/2023 22:22,29.63℃,77.62%,28.13℃,74.00%
20/6/2023 22:32,29.63℃,77.75%,28.13℃,74.12%
20/6/2023 22:42,29.63℃,76.56%,28.19℃,74.31%
20/6/2023 22:52,29.56℃,76.56%,28.25℃,74.50%
20/6/2023 23:02,29.50℃,73.38%,28.25℃,74.94%
20/6/2023 23:12,29.56℃,74.50%,28.31℃,75.06%
20/6/2023 23:22,29.56℃,75.38%,28.38℃,75.19%
20/6/2023 23:32,29.56℃,76.50%,28.44℃,75.25%
20/6/2023 23:42,29.56℃,76.81%,28.44℃,75.25%
20/6/2023 23:52,29.56℃,76.69%,28.50℃,75.25%
21/6/2023 0:02,29.50℃,75.56%,28.50℃,75.25%
21/6/2023 0:12,29.50℃,75.06%,28.50℃,75.25%
21/6/2023 0:22,29.44℃,74.38%,28.56℃,75.31%
21/6/2023 0:32,29.44℃,75.62%,28.56℃,75.25%
21/6/2023 0:42,29.44℃,75.88%,28.63℃,75.25%
21/6/2023 0:52,29.44℃,74.94%,28.63℃,75.19%
21/6/2023 1:02,29.38℃,75.06%,28.69℃,75.19%
21/6/2023 1:12,29.38℃,74.31%,28.69℃,75.19%
21/6/2023 1:22,29.38℃,75.44%,28.75℃,75.12%
21/6/2023 1:32,29.31℃,75.44%,28.81℃,75.06%
21/6/2023 1:42,29.31℃,75.44%,28.88℃,75.00%
21/6/2023 1:52,29.31℃,74.12%,28.88℃,74.94%
21/6/2023 2:02,29.25℃,76.06%,28.88℃,74.88%
21/6/2023 2:12,29.25℃,76.38%,28.94℃,74.81%
21/6/2023 2:22,29.25℃,76.44%,29.00℃,74.75%
21/6/2023 2:32,29.19℃,76.44%,29.00℃,74.62%
21/6/2023 2:42,29.19℃,76.38%,29.06℃,74.44%
21/6/2023 2:52,29.19℃,76.38%,29.06℃,74.31%
21/6/2023 3:02,29.13℃,76.31%,29.13℃,74.44%
21/6/2023 3:12,29.13℃,76.19%,29.13℃,74.31%
21/6/2023 3:22,29.13℃,76.06%,29.13℃,74.19%
21/6/2023 3:32,29.06℃,75.62%,29.19℃,74.12%
21/6/2023 3:42,29.06℃,75.44%,29.19℃,74.06%
21/6/2023 3:52,29.06℃,75.38%,29.19℃,74.00%
21/6/2023 4:02,29.00℃,75.31%,29.19℃,73.94%
21/6/2023 4:12,29.00℃,75.25%,29.25℃,73.94%
21/6/2023 4:22,28.94℃,75.12%,29.25℃,74.00%
21/6/2023 4:32,28.94℃,75.06%,29.31℃,74.06%
21/6/2023 4:42,28.94℃,75.06%,29.31℃,74.06%
21/6/2023 4:52,28.88℃,75.00%,29.38℃,74.06%
21/6/2023 5:02,28.88℃,74.88%,29.38℃,74.06%
21/6/2023 5:12,28.88℃,74.88%,29.38℃,74.00%
21/6/2023 5:22,28.88℃,74.88%,29.38℃,74.00%
21/6/2023 5:32,28.81℃,74.81%,29.38℃,74.00%
21/6/2023 5:42,28.81℃,74.75%,29.38℃,74.00%
21/6/2023 5:52,28.81℃,74.81%,29.38℃,74.00%
21/6/2023 6:02,28.75℃,74.81%,29.31℃,74.12%
21/6/2023 6:12,28.75℃,74.88%,29.31℃,74.12%
21/6/2023 6:22,28.75℃,74.81%,29.31℃,74.12%
21/6/2023 6:32,28.75℃,74.88%,29.31℃,74.12%
21/6/2023 6:42,28.69℃,74.88%,29.25℃,73.94%
21/6/2023 6:52,28.69℃,74.88%,29.25℃,74.06%
21/6/2023 7:02,28.69℃,74.88%,29.25℃,74.06%
21/6/2023 7:12,28.63℃,74.88%,29.25℃,74.06%
21/6/2023 7:22,28.63℃,74.88%,29.19℃,73.94%
21/6/2023 7:32,28.63℃,74.75%,29.19℃,73.94%
21/6/2023 7:42,28.63℃,74.81%,29.19℃,73.94%
21/6/2023 7:52,28.63℃,74.81%,29.19℃,74.00%
21/6/2023 8:02,28.63℃,74.81%,29.19℃,73.94%
21/6/2023 8:12,28.63℃,74.75%,29.19℃,74.00%
21/6/2023 8:22,28.69℃,74.75%,29.19℃,73.94%
21/6/2023 8:32,28.69℃,74.81%,29.19℃,73.94%
21/6/2023 8:42,28.69℃,75.06%,29.13℃,73.88%
21/6/2023 8:52,28.75℃,75.25%,29.13℃,73.88%
21/6/2023 9:02,28.75℃,75.44%,29.13℃,73.88%
21/6/2023 9:12,28.75℃,75.38%,29.13℃,73.62%
21/6/2023 9:22,28.63℃,68.69%,29.13℃,73.94%
21/6/2023 9:32,28.63℃,67.44%,29.13℃,73.69%
21/6/2023 9:42,28.56℃,66.31%,29.06℃,73.69%
21/6/2023 9:52,28.63℃,70.38%,29.06℃,73.69%
21/6/2023 10:02,28.69℃,72.06%,29.00℃,71.00%
21/6/2023 10:12,28.75℃,72.81%,28.94℃,71.38%
21/6/2023 10:22,28.81℃,73.38%,28.94℃,71.81%
21/6/2023 10:32,28.81℃,73.56%,28.94℃,72.25%
21/6/2023 10:42,28.88℃,73.75%,28.94℃,72.44%
21/6/2023 10:52,28.94℃,74.19%,28.88℃,72.31%
21/6/2023 11:02,29.00℃,74.25%,28.88℃,71.81%
21/6/2023 11:12,29.13℃,74.12%,28.81℃,71.06%
21/6/2023 11:22,29.25℃,73.75%,28.81℃,71.44%
21/6/2023 11:32,29.31℃,73.69%,28.81℃,71.69%
21/6/2023 11:42,29.38℃,73.69%,28.81℃,71.81%
21/6/2023 11:52,29.44℃,73.38%,28.81℃,71.88%
21/6/2023 12:02,29.44℃,73.38%,28.81℃,71.94%
21/6/2023 12:12,29.50℃,73.44%,28.81℃,71.94%
21/6/2023 12:22,29.50℃,73.38%,28.81℃,71.94%
21/6/2023 12:32,29.56℃,72.69%,28.81℃,72.00%
21/6/2023 12:42,29.63℃,72.44%,28.75℃,72.06%
21/6/2023 12:52,29.69℃,72.50%,28.75℃,72.19%
21/6/2023 13:02,29.75℃,72.44%,28.75℃,72.38%
21/6/2023 13:12,29.81℃,72.31%,28.75℃,72.38%
21/6/2023 13:22,29.88℃,72.56%,28.75℃,72.50%
21/6/2023 13:32,29.94℃,73.19%,28.75℃,72.69%
21/6/2023 13:42,29.94℃,73.31%,28.75℃,72.88%
21/6/2023 13:52,29.94℃,73.50%,28.75℃,73.06%
21/6/2023 14:02,29.94℃,73.38%,28.75℃,73.25%
21/6/2023 14:12,30.00℃,72.75%,28.75℃,73.38%
21/6/2023 14:22,30.06℃,72.19%,28.69℃,73.50%
21/6/2023 14:32,30.13℃,71.50%,28.69℃,73.62%
21/6/2023 14:42,30.19℃,71.38%,28.69℃,73.75%
21/6/2023 14:52,30.31℃,71.62%,28.63℃,73.81%
21/6/2023 15:02,30.38℃,71.69%,28.63℃,73.88%
21/6/2023 15:12,30.50℃,71.50%,28.63℃,74.00%
21/6/2023 15:22,30.56℃,71.25%,28.56℃,74.06%
21/6/2023 15:32,30.63℃,70.94%,28.56℃,74.12%
21/6/2023 15:42,30.69℃,70.69%,28.56℃,74.19%
21/6/2023 15:52,30.75℃,69.94%,28.56℃,74.25%
21/6/2023 16:02,30.88℃,69.81%,28.56℃,74.31%
21/6/2023 16:12,31.00℃,69.44%,28.50℃,74.38%
21/6/2023 16:22,31.00℃,69.06%,28.50℃,74.44%
21/6/2023 16:32,31.13℃,68.75%,28.50℃,74.44%
21/6/2023 16:42,31.13℃,68.44%,28.50℃,74.50%
21/6/2023 16:52,31.19℃,68.44%,28.50℃,74.50%
21/6/2023 17:02,31.25℃,68.19%,28.44℃,74.50%
21/6/2023 17:12,31.25℃,68.75%,28.44℃,74.56%
21/6/2023 17:22,31.25℃,68.12%,28.44℃,74.56%
21/6/2023 17:32,31.19℃,68.06%,28.44℃,74.62%
21/6/2023 17:42,31.06℃,68.25%,28.38℃,74.62%
21/6/2023 17:52,30.94℃,68.50%,28.38℃,74.69%
21/6/2023 18:02,30.81℃,68.69%,28.38℃,74.69%
21/6/2023 18:12,30.75℃,68.62%,28.38℃,74.75%
21/6/2023 18:22,30.63℃,68.69%,28.38℃,74.88%
21/6/2023 18:32,30.56℃,68.69%,28.38℃,74.94%
21/6/2023 18:42,30.50℃,68.88%,28.38℃,74.94%
21/6/2023 18:52,30.50℃,69.00%,28.38℃,74.94%
21/6/2023 19:02,30.44℃,69.19%,28.38℃,75.00%
21/6/2023 19:12,30.38℃,69.38%,28.38℃,75.00%
21/6/2023 19:22,30.31℃,69.56%,28.38℃,75.12%
21/6/2023 19:32,30.31℃,69.75%,28.38℃,75.19%
21/6/2023 19:42,30.25℃,69.81%,28.38℃,75.19%
21/6/2023 19:52,30.19℃,70.00%,28.38℃,75.12%
21/6/2023 20:02,30.19℃,70.25%,28.38℃,74.69%
21/6/2023 20:12,30.13℃,70.38%,28.38℃,74.56%
21/6/2023 20:22,30.13℃,70.56%,28.31℃,74.31%
21/6/2023 20:32,30.13℃,70.69%,28.31℃,74.25%
21/6/2023 20:42,30.13℃,71.06%,28.31℃,74.31%
21/6/2023 20:52,30.13℃,71.44%,28.31℃,74.50%
21/6/2023 21:02,30.06℃,71.81%,28.31℃,74.69%
21/6/2023 21:12,30.06℃,72.06%,28.38℃,74.75%
21/6/2023 21:22,30.06℃,72.19%,28.38℃,74.88%
21/6/2023 21:32,30.06℃,72.44%,28.38℃,74.94%
21/6/2023 21:42,30.06℃,72.75%,28.44℃,75.00%
21/6/2023 21:52,30.06℃,73.25%,28.44℃,75.06%
21/6/2023 22:02,30.06℃,73.62%,28.50℃,75.12%
21/6/2023 22:12,30.06℃,73.94%,28.50℃,75.19%
21/6/2023 22:22,30.00℃,74.19%,28.56℃,75.25%
21/6/2023 22:32,30.00℃,74.25%,28.56℃,75.31%
21/6/2023 22:42,30.00℃,74.38%,28.56℃,75.31%
21/6/2023 22:52,30.00℃,74.50%,28.63℃,75.31%
21/6/2023 23:02,30.00℃,74.56%,28.69℃,75.25%
21/6/2023 23:12,29.94℃,72.44%,28.69℃,75.25%
21/6/2023 23:22,29.94℃,72.88%,28.75℃,74.94%
21/6/2023 23:32,29.94℃,73.88%,28.69℃,74.00%
21/6/2023 23:42,29.94℃,74.69%,28.69℃,72.81%
21/6/2023 23:52,29.94℃,74.94%,28.63℃,72.88%
22/6/2023 0:02,29.88℃,74.38%,28.63℃,73.38%
22/6/2023 0:12,29.88℃,74.44%,28.69℃,73.69%
22/6/2023 0:22,29.88℃,75.19%,28.75℃,73.75%
22/6/2023 0:32,29.81℃,74.88%,28.81℃,73.69%
22/6/2023 0:42,29.81℃,75.00%,28.81℃,73.56%
22/6/2023 0:52,29.75℃,74.94%,28.88℃,73.44%
22/6/2023 1:02,29.75℃,74.88%,28.88℃,73.25%
22/6/2023 1:12,29.75℃,74.69%,28.94℃,73.06%
22/6/2023 1:22,29.69℃,74.56%,29.00℃,72.88%
22/6/2023 1:32,29.69℃,74.31%,29.06℃,72.69%
22/6/2023 1:42,29.63℃,74.06%,29.06℃,72.50%
22/6/2023 1:52,29.56℃,74.25%,29.13℃,72.69%
22/6/2023 2:02,29.56℃,74.19%,29.19℃,72.56%
22/6/2023 2:12,29.56℃,73.88%,29.19℃,72.50%
22/6/2023 2:22,29.50℃,73.31%,29.25℃,72.38%
22/6/2023 2:32,29.50℃,74.31%,29.31℃,72.31%
22/6/2023 2:42,29.44℃,74.94%,29.38℃,72.12%
22/6/2023 2:52,29.44℃,75.00%,29.38℃,71.94%
22/6/2023 3:02,29.44℃,75.00%,29.38℃,71.69%
22/6/2023 3:12,29.38℃,74.94%,29.38℃,71.50%
22/6/2023 3:22,29.38℃,74.69%,29.44℃,71.31%
22/6/2023 3:32,29.31℃,74.88%,29.44℃,71.12%
22/6/2023 3:42,29.31℃,74.81%,29.44℃,71.12%
22/6/2023 3:52,29.31℃,74.81%,29.44℃,71.06%
22/6/2023 4:02,29.25℃,74.88%,29.44℃,70.88%
22/6/2023 4:12,29.25℃,74.75%,29.44℃,70.69%
22/6/2023 4:22,29.19℃,74.75%,29.44℃,70.38%
22/6/2023 4:32,29.19℃,74.88%,29.44℃,69.62%
22/6/2023 4:42,29.19℃,75.06%,29.44℃,69.75%
22/6/2023 4:52,29.13℃,75.19%,29.44℃,69.88%
22/6/2023 5:02,29.13℃,75.19%,29.44℃,70.06%
22/6/2023 5:12,29.06℃,75.00%,29.44℃,70.19%
22/6/2023 5:22,29.06℃,75.00%,29.44℃,70.31%
22/6/2023 5:32,29.00℃,75.06%,29.44℃,70.44%
22/6/2023 5:42,29.00℃,75.06%,29.38℃,70.44%
22/6/2023 5:52,28.94℃,75.12%,29.38℃,70.50%
22/6/2023 6:02,28.94℃,75.19%,29.38℃,70.38%
22/6/2023 6:12,28.94℃,75.19%,29.31℃,70.06%
22/6/2023 6:22,28.88℃,75.12%,29.25℃,70.25%
22/6/2023 6:32,28.88℃,75.12%,29.25℃,70.44%
22/6/2023 6:42,28.88℃,75.12%,29.25℃,70.56%
22/6/2023 6:52,28.81℃,75.12%,29.25℃,70.75%
22/6/2023 7:02,28.63℃,68.81%,29.25℃,70.81%
22/6/2023 7:12,28.56℃,64.44%,29.19℃,70.94%
22/6/2023 7:22,28.50℃,65.38%,29.19℃,71.00%
22/6/2023 7:32,28.56℃,66.19%,29.19℃,71.06%
22/6/2023 7:42,28.56℃,65.19%,29.19℃,71.12%
22/6/2023 7:52,28.56℃,64.25%,29.19℃,71.12%
22/6/2023 8:02,28.56℃,67.75%,29.13℃,71.12%
22/6/2023 8:12,28.63℃,68.81%,29.13℃,71.19%
22/6/2023 8:22,28.63℃,68.69%,29.13℃,71.19%
22/6/2023 8:32,28.56℃,67.69%,29.13℃,70.88%
22/6/2023 8:42,28.56℃,66.25%,29.06℃,70.88%
22/6/2023 8:52,28.56℃,64.50%,29.06℃,70.94%
22/6/2023 9:02,28.56℃,65.12%,29.06℃,70.94%
22/6/2023 9:12,28.56℃,66.44%,29.06℃,71.00%
22/6/2023 9:22,28.56℃,66.19%,29.06℃,71.00%
22/6/2023 9:32,28.56℃,65.69%,29.06℃,71.06%
22/6/2023 9:42,28.56℃,65.75%,29.00℃,71.06%
22/6/2023 9:52,28.63℃,66.00%,29.00℃,71.06%
22/6/2023 10:02,28.63℃,66.19%,28.94℃,71.06%
22/6/2023 10:12,28.69℃,66.25%,28.94℃,71.12%
